Date,Open,High,Low,Close,Change(Pips),Change(%)
02/14/2022 18:30,1.13114,1.13118,1.13095,1.13103,-1.1,-0.01,
02/14/2022 18:25,1.13114,1.13132,1.13092,1.13116,0.2,0.00,
02/14/2022 18:20,1.13115,1.13124,1.13097,1.13115,0.0,0.00,
02/14/2022 18:15,1.1313,1.13136,1.13113,1.13118,-1.2,-0.01,
02/14/2022 18:10,1.13139,1.13142,1.13118,1.13125,-1.4,-0.01,
02/14/2022 18:05,1.131,1.13144,1.13097,1.13134,3.4,0.03,
02/14/2022 18:00,1.13103,1.13113,1.13078,1.13103,0.0,0.00,
02/14/2022 17:55,1.13128,1.13138,1.1309,1.13105,-2.3,-0.02,
02/14/2022 17:50,1.1305,1.1313,1.1305,1.13128,7.8,0.07,
02/14/2022 17:45,1.13074,1.1308,1.13044,1.13049,-2.5,-0.02,
02/14/2022 17:40,1.13074,1.13083,1.13056,1.13076,0.2,0.00,
02/14/2022 17:35,1.13071,1.13081,1.13055,1.13075,0.4,0.00,
02/14/2022 17:30,1.13063,1.13085,1.13058,1.13074,1.1,0.01,
02/14/2022 17:25,1.13045,1.13073,1.1303,1.13059,1.4,0.01,
02/14/2022 17:20,1.13031,1.13054,1.13011,1.13044,1.3,0.01,
02/14/2022 17:15,1.13007,1.13045,1.13006,1.13028,2.1,0.02,
02/14/2022 17:10,1.13005,1.13014,1.12998,1.13009,0.4,0.00,
02/14/2022 17:05,1.12991,1.13013,1.12986,1.13008,1.7,0.02,
02/14/2022 17:00,1.13064,1.13064,1.12992,1.12992,-7.2,-0.06,
02/14/2022 16:55,1.13031,1.13065,1.13027,1.13061,3.0,0.03,
02/14/2022 16:50,1.13086,1.13091,1.13028,1.13032,-5.4,-0.05,
02/14/2022 16:45,1.13088,1.13114,1.13067,1.13085,-0.3,0.00,
02/14/2022 16:40,1.13079,1.13107,1.13064,1.13088,0.9,0.01,
02/14/2022 16:35,1.13091,1.13144,1.13075,1.13075,-1.6,-0.01,
02/14/2022 16:30,1.13056,1.131,1.12984,1.13089,3.3,0.03,
02/14/2022 16:25,1.1303,1.13064,1.13001,1.13061,3.1,0.03,
02/14/2022 16:20,1.12982,1.13038,1.12969,1.13029,4.7,0.04,
02/14/2022 16:15,1.13,1.13013,1.12961,1.12983,-1.7,-0.02,
02/14/2022 16:10,1.13018,1.13023,1.12959,1.12995,-2.3,-0.02,
02/14/2022 16:05,1.13092,1.13092,1.12987,1.13019,-7.3,-0.06,
02/14/2022 16:00,1.13062,1.13106,1.13053,1.13089,2.7,0.02,
02/14/2022 15:55,1.13034,1.13099,1.13034,1.13059,2.5,0.02,
02/14/2022 15:50,1.1297,1.13048,1.12965,1.13032,6.2,0.05,
02/14/2022 15:45,1.12963,1.12969,1.12915,1.12968,0.5,0.00,
02/14/2022 15:40,1.13033,1.13049,1.12961,1.12964,-6.9,-0.06,
02/14/2022 15:35,1.13032,1.1305,1.13011,1.13032,0.0,0.00,
02/14/2022 15:30,1.13039,1.13055,1.13007,1.13036,-0.3,0.00,
02/14/2022 15:25,1.13056,1.13056,1.1301,1.13038,-1.8,-0.02,
02/14/2022 15:20,1.13029,1.13077,1.13006,1.13055,2.6,0.02,
02/14/2022 15:15,1.13037,1.13052,1.13013,1.13029,-0.8,-0.01,
02/14/2022 15:10,1.13092,1.13123,1.13015,1.13038,-5.4,-0.05,
02/14/2022 15:05,1.13146,1.13163,1.13094,1.13094,-5.2,-0.05,
02/14/2022 15:00,1.13198,1.13201,1.13114,1.13148,-5.0,-0.04,
02/14/2022 14:55,1.1316,1.13212,1.1316,1.13197,3.7,0.03,
02/14/2022 14:50,1.13099,1.13183,1.13087,1.1316,6.1,0.05,
02/14/2022 14:45,1.13098,1.13108,1.1308,1.131,0.2,0.00,
02/14/2022 14:40,1.13077,1.13134,1.13065,1.13098,2.1,0.02,
02/14/2022 14:35,1.13096,1.13117,1.13048,1.13076,-2.0,-0.02,
02/14/2022 14:30,1.13118,1.13135,1.13064,1.13094,-2.4,-0.02,
02/14/2022 14:25,1.13163,1.13166,1.13108,1.13122,-4.1,-0.04,
02/14/2022 14:20,1.13148,1.13199,1.13131,1.13166,1.8,0.02,
02/14/2022 14:15,1.13171,1.13197,1.13124,1.13148,-2.3,-0.02,
02/14/2022 14:10,1.13132,1.1319,1.13117,1.13171,3.9,0.03,
02/14/2022 14:05,1.13147,1.13197,1.13126,1.13129,-1.8,-0.02,
02/14/2022 14:00,1.13146,1.13163,1.13099,1.13146,0.0,0.00,
02/14/2022 13:55,1.13175,1.13216,1.1311,1.13148,-2.7,-0.02,
02/14/2022 13:50,1.13189,1.13206,1.13134,1.13176,-1.3,-0.01,
02/14/2022 13:45,1.13178,1.132,1.13139,1.13194,1.6,0.01,
02/14/2022 13:40,1.13205,1.1326,1.13142,1.13174,-3.1,-0.03,
02/14/2022 13:35,1.13187,1.13208,1.13134,1.13205,1.8,0.02,
02/14/2022 13:30,1.13267,1.13294,1.13187,1.13187,-8.0,-0.07,
02/14/2022 13:25,1.1318,1.13271,1.13167,1.13271,9.1,0.08,
02/14/2022 13:20,1.1315,1.13187,1.13126,1.13182,3.2,0.03,
02/14/2022 13:15,1.13166,1.13213,1.13148,1.13149,-1.7,-0.02,
02/14/2022 13:10,1.1325,1.13269,1.13154,1.13166,-8.4,-0.07,
02/14/2022 13:05,1.13242,1.13274,1.13219,1.13252,1.0,0.01,
02/14/2022 13:00,1.13273,1.1331,1.13244,1.13244,-2.9,-0.03,
02/14/2022 12:55,1.13296,1.13336,1.13246,1.13269,-2.7,-0.02,
02/14/2022 12:50,1.13329,1.13363,1.13271,1.13291,-3.8,-0.03,
02/14/2022 12:45,1.13368,1.13424,1.13325,1.13328,-4.0,-0.04,
02/14/2022 12:40,1.13266,1.13425,1.13215,1.13362,9.6,0.08,
02/14/2022 12:35,1.13042,1.13281,1.13019,1.13263,22.1,0.20,
02/14/2022 12:30,1.13083,1.13091,1.13041,1.13041,-4.2,-0.04,
02/14/2022 12:25,1.13043,1.13095,1.13034,1.13086,4.3,0.04,
02/14/2022 12:20,1.13055,1.13065,1.13018,1.13048,-0.7,-0.01,
02/14/2022 12:15,1.13076,1.13086,1.13033,1.13055,-2.1,-0.02,
02/14/2022 12:10,1.13027,1.13085,1.13027,1.13074,4.7,0.04,
02/14/2022 12:05,1.13066,1.13095,1.13031,1.13031,-3.5,-0.03,
02/14/2022 12:00,1.13111,1.13111,1.13061,1.13065,-4.6,-0.04,
02/14/2022 11:55,1.13097,1.13117,1.13083,1.13111,1.4,0.01,
02/14/2022 11:50,1.13038,1.1311,1.13038,1.13098,6.0,0.05,
02/14/2022 11:45,1.13021,1.13041,1.13009,1.13041,2.0,0.02,
02/14/2022 11:40,1.13016,1.13029,1.1301,1.1302,0.4,0.00,
02/14/2022 11:35,1.13023,1.13033,1.13011,1.13019,-0.4,0.00,
02/14/2022 11:30,1.1303,1.1303,1.13008,1.13022,-0.8,-0.01,
02/14/2022 11:25,1.13041,1.13044,1.13012,1.13032,-0.9,-0.01,
02/14/2022 11:20,1.13016,1.13051,1.13007,1.13045,2.9,0.03,
02/14/2022 11:15,1.13027,1.13028,1.13006,1.13011,-1.6,-0.01,
02/14/2022 11:10,1.13025,1.13033,1.13008,1.13022,-0.3,0.00,
02/14/2022 11:05,1.1309,1.13091,1.13016,1.13023,-6.7,-0.06,
02/14/2022 11:00,1.13136,1.13141,1.1308,1.13089,-4.7,-0.04,
02/14/2022 10:55,1.13148,1.13155,1.13108,1.13136,-1.2,-0.01,
02/14/2022 10:50,1.13168,1.13177,1.13133,1.13148,-2.0,-0.02,
02/14/2022 10:45,1.13156,1.1318,1.13151,1.13166,1.0,0.01,
02/14/2022 10:40,1.1315,1.13169,1.13115,1.13154,0.4,0.00,
02/14/2022 10:35,1.13097,1.13149,1.1308,1.13149,5.2,0.05,
02/14/2022 10:30,1.13097,1.13108,1.13083,1.13101,0.4,0.00,
02/14/2022 10:25,1.13079,1.1312,1.13071,1.13096,1.7,0.02,
02/14/2022 10:20,1.13022,1.13082,1.13022,1.13078,5.6,0.05,
02/14/2022 10:15,1.13081,1.1309,1.13014,1.13027,-5.4,-0.05,
02/14/2022 10:10,1.13078,1.13094,1.13069,1.13083,0.5,0.00,
02/14/2022 10:05,1.13135,1.13135,1.13071,1.13075,-6.0,-0.05,
02/14/2022 10:00,1.13122,1.1314,1.13079,1.13134,1.2,0.01,
02/14/2022 09:55,1.13176,1.13184,1.13098,1.13122,-5.4,-0.05,
02/14/2022 09:50,1.13181,1.132,1.13176,1.13181,0.0,0.00,
02/14/2022 09:45,1.13199,1.13218,1.13178,1.13186,-1.3,-0.01,
02/14/2022 09:40,1.13167,1.13217,1.13165,1.13203,3.6,0.03,
02/14/2022 09:35,1.13191,1.13215,1.13164,1.13169,-2.2,-0.02,
02/14/2022 09:30,1.13144,1.13204,1.1313,1.13191,4.7,0.04,
02/14/2022 09:25,1.13151,1.13185,1.1313,1.13145,-0.6,-0.01,
02/14/2022 09:20,1.13169,1.13169,1.13124,1.13151,-1.8,-0.02,
02/14/2022 09:15,1.1311,1.13175,1.13102,1.13164,5.4,0.05,
02/14/2022 09:10,1.13112,1.1316,1.13096,1.13109,-0.3,0.00,
02/14/2022 09:05,1.13132,1.13156,1.13091,1.13114,-1.8,-0.02,
02/14/2022 09:00,1.13091,1.13141,1.13078,1.13128,3.7,0.03,
02/14/2022 08:55,1.13125,1.13128,1.13077,1.13094,-3.1,-0.03,
02/14/2022 08:50,1.13047,1.13152,1.13044,1.13127,8.0,0.07,
02/14/2022 08:45,1.13116,1.13137,1.13036,1.13043,-7.3,-0.06,
02/14/2022 08:40,1.13104,1.13124,1.1308,1.13114,1.0,0.01,
02/14/2022 08:35,1.13146,1.13153,1.13084,1.13102,-4.4,-0.04,
02/14/2022 08:30,1.13224,1.13238,1.13117,1.13138,-8.6,-0.08,
02/14/2022 08:25,1.13377,1.134,1.13219,1.13221,-15.6,-0.14,
02/14/2022 08:20,1.13406,1.13429,1.13372,1.13376,-3.0,-0.03,
02/14/2022 08:15,1.13392,1.13411,1.13347,1.13401,0.9,0.01,
02/14/2022 08:10,1.13347,1.13399,1.13298,1.13393,4.6,0.04,
02/14/2022 08:05,1.13343,1.13359,1.13289,1.13346,0.3,0.00,
02/14/2022 08:00,1.13379,1.13432,1.1333,1.13336,-4.3,-0.04,
02/14/2022 07:55,1.13474,1.13476,1.13382,1.13382,-9.2,-0.08,
02/14/2022 07:50,1.13379,1.13487,1.13373,1.13478,9.9,0.09,
02/14/2022 07:45,1.13468,1.13468,1.13359,1.13378,-9.0,-0.08,
02/14/2022 07:40,1.13459,1.13499,1.13448,1.13468,0.9,0.01,
02/14/2022 07:35,1.13468,1.13487,1.13447,1.1346,-0.8,-0.01,
02/14/2022 07:30,1.13475,1.13491,1.13448,1.13465,-1.0,-0.01,
02/14/2022 07:25,1.13468,1.13493,1.13464,1.13477,0.9,0.01,
02/14/2022 07:20,1.13465,1.1348,1.13445,1.13463,-0.2,0.00,
02/14/2022 07:15,1.13414,1.13478,1.13409,1.13465,5.1,0.04,
02/14/2022 07:10,1.13402,1.13444,1.13395,1.13414,1.2,0.01,
02/14/2022 07:05,1.13388,1.13409,1.13374,1.13396,0.8,0.01,
02/14/2022 07:00,1.13441,1.13453,1.13384,1.13387,-5.4,-0.05,
02/14/2022 06:55,1.13402,1.13456,1.134,1.13442,4.0,0.04,
02/14/2022 06:50,1.13418,1.13421,1.13387,1.13399,-1.9,-0.02,
02/14/2022 06:45,1.1343,1.13435,1.13416,1.13416,-1.4,-0.01,
02/14/2022 06:40,1.1343,1.13442,1.13424,1.13431,0.1,0.00,
02/14/2022 06:35,1.13441,1.13444,1.1342,1.13431,-1.0,-0.01,
02/14/2022 06:30,1.13481,1.13485,1.13434,1.13437,-4.4,-0.04,
02/14/2022 06:25,1.13468,1.13486,1.13465,1.13485,1.7,0.01,
02/14/2022 06:20,1.13461,1.13473,1.13446,1.1347,0.9,0.01,
02/14/2022 06:15,1.13475,1.13477,1.13443,1.13458,-1.7,-0.01,
02/14/2022 06:10,1.13478,1.13499,1.1347,1.1348,0.2,0.00,
02/14/2022 06:05,1.13501,1.13506,1.13465,1.13478,-2.3,-0.02,
02/14/2022 06:00,1.13514,1.13522,1.13494,1.13498,-1.6,-0.01,
02/14/2022 05:55,1.13515,1.1352,1.135,1.13513,-0.2,0.00,
02/14/2022 05:50,1.13503,1.13524,1.13499,1.13517,1.4,0.01,
02/14/2022 05:45,1.13494,1.13504,1.13486,1.13502,0.8,0.01,
02/14/2022 05:40,1.13482,1.135,1.13481,1.13497,1.5,0.01,
02/14/2022 05:35,1.13482,1.13489,1.13473,1.13483,0.1,0.00,
02/14/2022 05:30,1.13475,1.13483,1.1347,1.13479,0.4,0.00,
02/14/2022 05:25,1.13475,1.13482,1.13466,1.13473,-0.2,0.00,
02/14/2022 05:20,1.13456,1.13478,1.13449,1.13476,2.0,0.02,
02/14/2022 05:15,1.13459,1.13465,1.13444,1.13459,0.0,0.00,
02/14/2022 05:10,1.13423,1.13464,1.13423,1.13463,4.0,0.04,
02/14/2022 05:05,1.13425,1.13443,1.13423,1.13425,0.0,0.00,
02/14/2022 05:00,1.13453,1.13453,1.13419,1.13429,-2.4,-0.02,
02/14/2022 04:55,1.13456,1.1346,1.13444,1.13453,-0.3,0.00,
02/14/2022 04:50,1.1346,1.13473,1.1345,1.13459,-0.1,0.00,
02/14/2022 04:45,1.13465,1.13466,1.13448,1.13464,-0.1,0.00,
02/14/2022 04:40,1.13469,1.13473,1.13459,1.13462,-0.7,-0.01,
02/14/2022 04:35,1.13473,1.13482,1.13459,1.1347,-0.3,0.00,
02/14/2022 04:30,1.13466,1.13487,1.13456,1.13473,0.7,0.01,
02/14/2022 04:25,1.13456,1.13471,1.13452,1.1347,1.4,0.01,
02/14/2022 04:20,1.1345,1.13462,1.13439,1.13457,0.7,0.01,
02/14/2022 04:15,1.13432,1.13451,1.13427,1.13449,1.7,0.01,
02/14/2022 04:10,1.13421,1.13438,1.13411,1.1343,0.9,0.01,
02/14/2022 04:05,1.13437,1.13443,1.13418,1.1342,-1.7,-0.01,
02/14/2022 04:00,1.13429,1.13439,1.13423,1.13435,0.6,0.01,
02/14/2022 03:55,1.13439,1.13439,1.13413,1.13431,-0.8,-0.01,
02/14/2022 03:50,1.13451,1.13452,1.13424,1.13435,-1.6,-0.01,
02/14/2022 03:45,1.13427,1.13453,1.13421,1.13451,2.4,0.02,
02/14/2022 03:40,1.13433,1.13445,1.13423,1.13424,-0.9,-0.01,
02/14/2022 03:35,1.13421,1.13442,1.13412,1.13435,1.4,0.01,
02/14/2022 03:30,1.13434,1.13437,1.13412,1.13419,-1.5,-0.01,
02/14/2022 03:25,1.13447,1.13456,1.13431,1.13431,-1.6,-0.01,
02/14/2022 03:20,1.13437,1.13452,1.13424,1.13448,1.1,0.01,
02/14/2022 03:15,1.13444,1.13449,1.13424,1.13436,-0.8,-0.01,
02/14/2022 03:10,1.13453,1.13462,1.13431,1.1344,-1.3,-0.01,
02/14/2022 03:05,1.1347,1.13479,1.13451,1.13454,-1.6,-0.01,
02/14/2022 03:00,1.13434,1.13472,1.13433,1.13472,3.8,0.03,
02/14/2022 02:55,1.13446,1.13453,1.13417,1.13432,-1.4,-0.01,
02/14/2022 02:50,1.1344,1.13445,1.13433,1.13444,0.4,0.00,
02/14/2022 02:45,1.13457,1.13459,1.13431,1.13444,-1.3,-0.01,
02/14/2022 02:40,1.13438,1.13466,1.13437,1.13456,1.8,0.02,
02/14/2022 02:35,1.13456,1.13457,1.13427,1.13436,-2.0,-0.02,
02/14/2022 02:30,1.13424,1.1347,1.13424,1.13455,3.1,0.03,
02/14/2022 02:25,1.13422,1.13424,1.13402,1.13423,0.1,0.00,
02/14/2022 02:20,1.13463,1.13466,1.13427,1.13427,-3.6,-0.03,
02/14/2022 02:15,1.13479,1.13479,1.13459,1.13459,-2.0,-0.02,
02/14/2022 02:10,1.13512,1.13512,1.13471,1.13479,-3.3,-0.03,
02/14/2022 02:05,1.13494,1.13517,1.13489,1.13513,1.9,0.02,
02/14/2022 02:00,1.13538,1.13538,1.13492,1.13496,-4.2,-0.04,
02/14/2022 01:55,1.13541,1.13543,1.13535,1.13536,-0.5,0.00,
02/14/2022 01:50,1.1353,1.13555,1.13524,1.13541,1.1,0.01,
02/14/2022 01:45,1.1353,1.13557,1.13528,1.13529,-0.1,0.00,
02/14/2022 01:40,1.13555,1.13569,1.13521,1.1353,-2.5,-0.02,
02/14/2022 01:35,1.13581,1.13591,1.13552,1.13552,-2.9,-0.03,
02/14/2022 01:30,1.13577,1.13595,1.13574,1.13581,0.4,0.00,
02/14/2022 01:25,1.13596,1.13604,1.13579,1.1358,-1.6,-0.01,
02/14/2022 01:20,1.13601,1.13604,1.13589,1.13596,-0.5,0.00,
02/14/2022 01:15,1.13595,1.13615,1.13585,1.13604,0.9,0.01,
02/14/2022 01:10,1.13613,1.13632,1.13591,1.13592,-2.1,-0.02,
02/14/2022 01:05,1.13647,1.13651,1.13612,1.13615,-3.2,-0.03,
02/14/2022 01:00,1.13623,1.13647,1.13607,1.13644,2.1,0.02,
02/14/2022 00:55,1.13602,1.13629,1.13597,1.13622,2.0,0.02,
02/14/2022 00:50,1.13621,1.13634,1.136,1.136,-2.1,-0.02,
02/14/2022 00:45,1.13618,1.13632,1.13607,1.13623,0.5,0.00,
02/14/2022 00:40,1.13603,1.13624,1.13603,1.13619,1.6,0.01,
02/14/2022 00:35,1.136,1.13616,1.13595,1.13601,0.1,0.00,
02/14/2022 00:30,1.13634,1.13634,1.13599,1.13599,-3.5,-0.03,
02/14/2022 00:25,1.13655,1.13662,1.13618,1.13634,-2.1,-0.02,
02/14/2022 00:20,1.13659,1.13673,1.13638,1.13655,-0.4,0.00,
02/14/2022 00:15,1.13674,1.13689,1.13651,1.13659,-1.5,-0.01,
02/14/2022 00:10,1.13606,1.13684,1.13606,1.13673,6.7,0.06,
02/14/2022 00:05,1.13623,1.13639,1.13592,1.13609,-1.4,-0.01,
02/14/2022 00:00,1.13647,1.13659,1.13618,1.13626,-2.1,-0.02,
